task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	1b/cc26a4	79255	preprocessMtsat (sub-invivo1_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:21:22.867	4m 13s	4m 9s	47.2%	160.2 MB	352.1 MB	30.2 MB	45 MB
20	d6/3dff74	79447	fitMtratio (sub-invivo1_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:25:36.466	23.4s	20.2s	22.8%	162.3 MB	381.9 MB	100.6 MB	73.4 MB
21	92/2d36cb	79451	fitMtsat (sub-invivo1_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:25:36.475	33.6s	30.7s	26.7%	196.9 MB	414.2 MB	95.2 MB	76.8 MB
22	11/1eb27c	79534	publishOutputs (1)	COMPLETED	0	2021-11-23 19:26:11.107	3s	107ms	12.1%	0	0	65.8 KB	192 B
23	74/0741bf	79537	prepStat (sub-invivo1_ses-vendorPRIrev)	COMPLETED	0	2021-11-23 19:26:11.117	9.2s	6.8s	23.8%	109.1 MB	296.1 MB	56.5 MB	50.1 MB
24	73/98d413	79647	publishStat (1)	COMPLETED	0	2021-11-23 19:26:21.364	80ms	0ms	-	-	-	-	-
2	2f/f85bd6	79263	preprocessMtsat (sub-invivo1_ses-rth750rev)	COMPLETED	0	2021-11-23 19:21:22.892	5m 16s	5m 12s	48.0%	156.8 MB	349 MB	85.4 MB	64.8 MB
25	85/d7d6b3	79718	fitMtratio (sub-invivo1_ses-rth750rev)	COMPLETED	0	2021-11-23 19:26:39.447	20.1s	17.6s	23.5%	161.6 MB	379.3 MB	100.1 MB	73.2 MB
26	e4/5006db	79719	fitMtsat (sub-invivo1_ses-rth750rev)	COMPLETED	0	2021-11-23 19:26:39.454	34s	31.4s	29.0%	197.1 MB	414.2 MB	142.5 MB	111.8 MB
27	f9/ceaa0a	79805	publishOutputs (2)	COMPLETED	0	2021-11-23 19:27:14.470	2.6s	46ms	20.0%	0	0	65.8 KB	192 B
28	42/79641d	79804	prepStat (sub-invivo1_ses-rth750rev)	COMPLETED	0	2021-11-23 19:27:14.463	9s	6.3s	27.7%	109.2 MB	296.1 MB	56.8 MB	50 MB
29	01/c38e4d	79921	publishStat (2)	COMPLETED	0	2021-11-23 19:27:24.436	70ms	0ms	-	-	-	-	-
1	de/96b8e5	79256	preprocessMtsat (sub-invivo1_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:21:22.881	6m 20s	6m 17s	43.8%	160.1 MB	352.1 MB	86.6 MB	66 MB
30	aa/49c26c	79992	fitMtratio (sub-invivo1_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:27:44.157	20.1s	17.4s	22.9%	161 MB	379.3 MB	100.8 MB	73.6 MB
31	56/db846a	79993	fitMtsat (sub-invivo1_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:27:44.165	37.6s	34.9s	29.7%	197.3 MB	414.4 MB	143.3 MB	112.4 MB
32	2e/e063ba	80081	publishOutputs (3)	COMPLETED	0	2021-11-23 19:28:22.778	2.4s	70ms	12.5%	0	0	65.8 KB	192 B
33	37/d087d0	80079	prepStat (sub-invivo1_ses-rthSKYrev)	COMPLETED	0	2021-11-23 19:28:22.769	7.5s	5.6s	29.1%	109.2 MB	296.1 MB	57.4 MB	50.4 MB
34	f6/f08477	80191	publishStat (3)	COMPLETED	0	2021-11-23 19:28:31.290	68ms	0ms	-	-	-	-	-
5	96/793777	79688	preprocessMtsat (sub-invivo1_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:26:38.438	4m 54s	4m 52s	41.7%	166.1 MB	352 MB	86.6 MB	65.9 MB
35	1b/661b25	80274	fitMtratio (sub-invivo1_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:31:32.969	25s	21.5s	21.5%	161.6 MB	379.3 MB	100.8 MB	73.5 MB
36	52/191b6b	80275	fitMtsat (sub-invivo1_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:31:32.976	42.7s	39.8s	29.5%	197 MB	414.3 MB	143.2 MB	112.2 MB
37	9a/63b186	80374	publishOutputs (4)	COMPLETED	0	2021-11-23 19:32:16.670	2.5s	108ms	9.1%	0	0	65.8 KB	192 B
38	72/dfd406	80369	prepStat (sub-invivo1_ses-rthPRIrev)	COMPLETED	0	2021-11-23 19:32:16.661	7.2s	4.9s	30.5%	88.8 MB	276 MB	57.1 MB	49.6 MB
39	0f/e8815d	80486	publishStat (4)	COMPLETED	0	2021-11-23 19:32:24.866	69ms	0ms	-	-	-	-	-
4	ae/7321ab	79416	preprocessMtsat (sub-invivo1_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:25:35.455	7m 15s	7m 12s	41.2%	240.9 MB	390 MB	39.2 MB	62.6 MB
40	3e/8268ec	80555	fitMtratio (sub-invivo1_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:32:51.300	31.2s	27.8s	18.1%	201.2 MB	419.3 MB	136.6 MB	100.8 MB
6	ac/602664	79962	preprocessMtsat (sub-invivo1_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:27:43.149	5m 42s	5m 37s	40.6%	169.9 MB	349.5 MB	27.8 MB	42.7 MB
41	07/4cc0a6	80556	fitMtsat (sub-invivo1_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:32:51.304	49.7s	47.4s	21.8%	249.7 MB	467.2 MB	129.4 MB	105.8 MB
44	83/611eaa	80765	publishOutputs (5)	COMPLETED	0	2021-11-23 19:33:42.059	2.9s	72ms	11.5%	0	0	65.8 KB	193 B
42	36/ac5484	80686	fitMtratio (sub-invivo1_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:33:25.848	28.6s	25.7s	18.1%	161.1 MB	379.3 MB	95.7 MB	71 MB
45	02/0c013a	80764	prepStat (sub-invivo1_ses-vendor750rev)	COMPLETED	0	2021-11-23 19:33:42.053	13.3s	11s	17.0%	143.2 MB	330 MB	78.4 MB	69.2 MB
46	4b/195044	80885	publishStat (5)	COMPLETED	0	2021-11-23 19:33:56.361	66ms	0ms	-	-	-	-	-
43	cf/f80d16	80687	fitMtsat (sub-invivo1_ses-vendorSKYrev)	COMPLETED	0	2021-11-23 19:33:25.855	37.8s	35.2s	23.1%	196.6 MB	414.2 MB	90.8 MB	74.8 MB
